number,cohort,state,base,head,head_repo,head_sha,author,title,url,disposition_category,port_first_action
"1050","interface-wallet-target","MERGED","interface-wallet","account-interface","yyforyongyu/btcwallet","24a1bed0dbba727d00876c25f7c20e57365fb2fb","yyforyongyu","wallet: add `AccountManager` interface","https://github.com/btcsuite/btcwallet/pull/1050","public-refactor","defer-post-port"
"1052","interface-wallet-target","MERGED","interface-wallet","address-interface","yyforyongyu/btcwallet","afdbbd9666ed4b22c4f2d67fcb570ff543a2bae2","yyforyongyu"," wallet: add `AddressManager` interface","https://github.com/btcsuite/btcwallet/pull/1052","public-refactor","defer-post-port"
"1059","interface-wallet-target","MERGED","interface-wallet","utxo-interface","yyforyongyu/btcwallet","ae0739386622afb35ba2cbf689b72d62d5cd37d1","yyforyongyu"," wallet: add `UtxoManager` interface","https://github.com/btcsuite/btcwallet/pull/1059","public-refactor","defer-post-port"
"1068","interface-wallet-target","MERGED","interface-wallet","benchmarkAccountsAPI","mohamedawnallah/btcwallet","fee7a9b26aeeb9eda0c680899968106a48201517","mohamedawnallah","[1/8][AccountManager] wallet: benchmark `Accounts` (deprecated) vs. `ListAccountsByScope` (replacement) API","https://github.com/btcsuite/btcwallet/pull/1068","test-tooling","salvage-selectively"
"1069","interface-wallet-target","MERGED","interface-wallet","benchmarkListAccountsAPI","mohamedawnallah/btcwallet","a9b3284f7577b909ba9d83327bf2a1a7d4188be5","mohamedawnallah","[2/8][AccountManager]: benchmark `ListAccounts` API against deprecated `Accounts` wrapper API","https://github.com/btcsuite/btcwallet/pull/1069","test-tooling","salvage-selectively"
"1070","interface-wallet-target","CLOSED","interface-wallet","benchmarkListAccountsByNameAPI","mohamedawnallah/btcwallet","b09f8e5fe4724031562f03bb04fdfcb013b61235","mohamedawnallah","[3/8][AccountManager]: benchmark `ListAccountsByName` API against deprecated `Accounts` wrapper API","https://github.com/btcsuite/btcwallet/pull/1070","test-tooling","salvage-selectively"
"1071","interface-wallet-target","CLOSED","interface-wallet","benchmarkNewAccountAPI","mohamedawnallah/btcwallet","b1e2e1546bb9a42a19eb5ae59324e52baab1d707","mohamedawnallah","[4/8][AccountManager]: benchmark `NewAccount` API against deprecated `NextAccount` API","https://github.com/btcsuite/btcwallet/pull/1071","test-tooling","salvage-selectively"
"1072","interface-wallet-target","CLOSED","interface-wallet","benchmarkGetAccountAPI","mohamedawnallah/btcwallet","386aa0db29e9fdacf275a1fdc09651a1f55016ec","mohamedawnallah","[5/8][AccountManager]: benchmark `GetAccount` API against deprecated `Accounts` wrapper API","https://github.com/btcsuite/btcwallet/pull/1072","test-tooling","salvage-selectively"
"1073","interface-wallet-target","CLOSED","interface-wallet","benchmarkRenameAccountAPI","mohamedawnallah/btcwallet","1f6363bb7cef31aa04b3527e604abbf22485dfdb","mohamedawnallah","[6/8][AccountManager]: benchmark `RenameAccount` API against deprecated `RenameAccountDeprecated` API","https://github.com/btcsuite/btcwallet/pull/1073","test-tooling","salvage-selectively"
"1074","interface-wallet-target","CLOSED","interface-wallet","benchmarkBalanceAPI","mohamedawnallah/btcwallet","39b54c8f2a98c63ac18b3a9a7461cbdcf42807b3","mohamedawnallah","[7/8][AccountManager]: benchmark `Balance` API against deprecated `Accounts` wrapper API","https://github.com/btcsuite/btcwallet/pull/1074","test-tooling","salvage-selectively"
