kind,name,fetch_repository,git_ref,head_repository,sha,pr_number,commit_url,reason
"branch","master","btcsuite/btcwallet","refs/heads/master","btcsuite/btcwallet","d7d47d08558e67f6c4d6b19381b64543547aec99","","https://github.com/btcsuite/btcwallet/commit/d7d47d08558e67f6c4d6b19381b64543547aec99","port-first baseline"
"branch","interface-wallet","btcsuite/btcwallet","refs/heads/interface-wallet","btcsuite/btcwallet","78ac6aeb02d27592ae40c2b2c71d887a6089de4f","1083","https://github.com/btcsuite/btcwallet/commit/78ac6aeb02d27592ae40c2b2c71d887a6089de4f","interface rewrite umbrella tip"
"branch","sql-wallet","btcsuite/btcwallet","refs/heads/sql-wallet","btcsuite/btcwallet","7e1ac7570d099e8985aec00d77ee3383c0a1cadb","1110","https://github.com/btcsuite/btcwallet/commit/7e1ac7570d099e8985aec00d77ee3383c0a1cadb","SQL rewrite umbrella tip"
"open-feeder-pr","pr-1154","btcsuite/btcwallet","refs/pull/1154/head","EricGrill/btcwallet","78caa4d8b849e78a88f821883790afbe02929119","1154","https://github.com/btcsuite/btcwallet/commit/78caa4d8b849e78a88f821883790afbe02929119","open feeder head"
"open-feeder-pr","pr-1244","btcsuite/btcwallet","refs/pull/1244/head","btcsuite/btcwallet","1b021a4dc63cdfda7dcab9405a918214dddf45f6","1244","https://github.com/btcsuite/btcwallet/commit/1b021a4dc63cdfda7dcab9405a918214dddf45f6","open feeder head"
"open-feeder-pr","pr-1258","btcsuite/btcwallet","refs/pull/1258/head","btcsuite/btcwallet","a6c0cd224432140c17207f98558473900b230c31","1258","https://github.com/btcsuite/btcwallet/commit/a6c0cd224432140c17207f98558473900b230c31","open feeder head"
"open-feeder-pr","pr-1270","btcsuite/btcwallet","refs/pull/1270/head","btcsuite/btcwallet","c0739daa0daf0c3f09fb78ee7bb53e8fc3b95395","1270","https://github.com/btcsuite/btcwallet/commit/c0739daa0daf0c3f09fb78ee7bb53e8fc3b95395","open feeder head"
"open-feeder-pr","pr-1271","btcsuite/btcwallet","refs/pull/1271/head","btcsuite/btcwallet","2ea76dfc5e85acf84014a21e4813cb23945250fa","1271","https://github.com/btcsuite/btcwallet/commit/2ea76dfc5e85acf84014a21e4813cb23945250fa","open feeder head"
"open-feeder-pr","pr-1272","btcsuite/btcwallet","refs/pull/1272/head","btcsuite/btcwallet","47a70528f4734c2751c07e906bcb143d80ceb0f1","1272","https://github.com/btcsuite/btcwallet/commit/47a70528f4734c2751c07e906bcb143d80ceb0f1","open feeder head"
"open-feeder-pr","pr-1279","btcsuite/btcwallet","refs/pull/1279/head","btcsuite/btcwallet","96241f0a22ab2c34bd0f767b67108317fe760417","1279","https://github.com/btcsuite/btcwallet/commit/96241f0a22ab2c34bd0f767b67108317fe760417","open feeder head"
